date,baseline,lightweight,regularized,bilstm,buy_hold
2024-10-20,1.1858979050120229,1.0793233258883201,1.0,1.0424788752710645,1.2033115865200812
2024-10-21,1.1578177119541886,1.053766650870448,1.0,1.0424788752710645,1.1748190649333514
2024-10-22,1.157706939578367,1.053665833415098,1.0,1.0414363963957936,1.1747066659800105
2024-10-23,1.14173705399309,1.0391311336309859,1.0,1.0260289580983974,1.1585022791782906
2024-10-24,1.171450099005309,1.0651347879085766,1.0,1.0250029291402991,1.1886516294578438
2024-10-25,1.1453499789489803,1.0651347879085766,1.0,1.0011406755836105,1.1621682561922277
2024-10-26,1.15174819137644,1.0651347879085766,1.0,1.0011406755836105,1.1686604197372008
2024-10-27,1.1674669929098547,1.0651347879085766,1.0,1.0001395349080269,1.1846100355780145
2024-10-28,1.2014698156616208,1.0651347879085766,1.0,1.0282687562364607,1.219112154536707
2024-10-29,1.2498108804701975,1.0651347879085766,1.0,1.0282687562364607,1.2681630577746958
2024-10-30,1.2432636288461778,1.0640696531206681,1.0,1.0282687562364607,1.2615196665470458
2024-10-31,1.2067534565839946,1.0317576924868939,1.0,1.0282687562364607,1.2244733802493366
2024-11-01,1.1941605843614942,1.0317576924868939,1.0,1.0272404874802243,1.2116955947512267
2024-11-02,1.1908402327473195,1.0317576924868939,1.0,1.0243842555333509,1.2083264872152653
2024-11-03,1.1814193442901662,1.0317576924868939,1.0,1.0152558372157674,1.1987672627762178
2024-11-04,1.16544261095802,1.0307259347944069,1.0,1.0142405813785516,1.1825559276755642
2024-11-05,1.1920482558567347,1.0532254350167747,1.0,1.0373944668606019,1.2095522488918815
2024-11-06,1.2999711633636322,1.0532254350167747,1.0,1.1302782929023005,1.3190598924294321
2024-11-07,1.3045390133338783,1.0521722095817578,1.0,1.1302782929023005,1.323694816541746
2024-11-08,1.3155489818732737,1.0610522682132864,1.0,1.1302782929023005,1.3348664550569027
2024-11-09,1.3195601503039363,1.0642874646371243,1.0,1.1302782929023005,1.338936523338245
